Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,FR,AD_STREAM,3.000000000,0.001638900,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,GB,AD_STREAM,10.000000000,0.012368900,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,IE,AD_STREAM,2.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,IT,AD_STREAM,1.000000000,0.000793800,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,SE,AD_STREAM,2.000000000,0.000234300,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,US,AD_STREAM,22.000000000,0.043121000,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,DE,SUB_STREAM,1.000000000,0.004912800,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,GB,SUB_STREAM,2.000000000,0.019999900,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,IE,SUB_STREAM,1.000000000,0.003824000,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,US,SUB_STREAM,10.000000000,0.076940800,100,100
2024-11-01,2025-02-01,Le Zhang,未言梦,未言梦,085494433534,QZMHM2539632,TIK_TOK,KH,UNKNOWN_STREAM,0E-9,0.000009200,80,100
2024-11-01,2025-02-01,Le Zhang,未言梦,未言梦,085494433534,QZMHM2539632,TIK_TOK,VN,UNKNOWN_STREAM,0E-9,0.000008600,80,100
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,ID,UNKNOWN_STREAM,0E-9,8.00E-7,80,100
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,JP,UNKNOWN_STREAM,1.000000000,0.000014300,80,100
